id,daily_term,legal_term,relation_type,domain,priority,raw_data,created_at,updated_at
1,집,주택,SYNONYM,apartment_sale,100,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""14"", ""relation_code"": ""140301"", ""relation_name"": ""동의어""}",2026-06-18 10:24:13.877556,2026-06-18 10:46:38.366648
9,계약금,해약금,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""8"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:24:13.877556,2026-06-18 10:47:29.184339
28,집,건축물,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""3"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:46:38.366648,2026-06-18 10:46:38.366648
30,집,부동산,BROADER,apartment_sale,80,"{""note"": ""움직여 옮길 수 없는 재산. 토지나 건물"", ""source"": ""law_api"", ""source_id"": ""5"", ""relation_code"": ""140303"", ""relation_name"": ""상위어""}",2026-06-18 10:46:38.366648,2026-06-18 10:46:38.366648
43,아파트,공동주택,BROADER,apartment_sale,80,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""4"", ""relation_code"": ""140303"", ""relation_name"": ""상위어""}",2026-06-18 10:46:38.399938,2026-06-18 10:46:38.399938
47,아파트,주택,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""8"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:46:38.399938,2026-06-18 10:46:38.399938
48,아파트,집합건물,BROADER,apartment_sale,80,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""9"", ""relation_code"": ""140303"", ""relation_name"": ""상위어""}",2026-06-18 10:46:38.399938,2026-06-18 10:46:38.399938
119,계약,양도계약,NARROWER,apartment_sale,70,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""69"", ""relation_code"": ""140304"", ""relation_name"": ""하위어""}",2026-06-18 10:47:28.4454,2026-06-18 10:47:28.4454
146,계약,중개계약,NARROWER,apartment_sale,70,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""96"", ""relation_code"": ""140304"", ""relation_name"": ""하위어""}",2026-06-18 10:47:28.4454,2026-06-18 10:47:28.4454
202,계약서,일반중개계약서,NARROWER,apartment_sale,70,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""40"", ""relation_code"": ""140304"", ""relation_name"": ""하위어""}",2026-06-18 10:47:28.915053,2026-06-18 10:47:28.915053
211,계약서,주택공급계약서,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""49"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:28.915053,2026-06-18 10:47:28.915053
217,계약서,토지매매계약서,NARROWER,apartment_sale,70,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""55"", ""relation_code"": ""140304"", ""relation_name"": ""하위어""}",2026-06-18 10:47:28.915053,2026-06-18 10:47:28.915053
226,계약금,계약금액,SYNONYM,apartment_sale,100,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""2"", ""relation_code"": ""140301"", ""relation_name"": ""동의어""}",2026-06-18 10:47:29.184339,2026-06-18 10:47:29.184339
232,중도금,잔금,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""1"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:29.241976,2026-06-18 10:47:29.241976
233,중도금,중도금지급일,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""2"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:29.241976,2026-06-18 10:47:29.241976
235,잔금,잔액,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""2"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:29.266006,2026-06-18 10:47:29.266006
236,잔금,잔여금,SYNONYM,apartment_sale,100,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""3"", ""relation_code"": ""140301"", ""relation_name"": ""동의어""}",2026-06-18 10:47:29.266006,2026-06-18 10:47:29.266006
287,특약,환매특약등기,NARROWER,apartment_sale,70,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""10"", ""relation_code"": ""140304"", ""relation_name"": ""하위어""}",2026-06-18 10:47:29.496998,2026-06-18 10:47:29.496998
288,집주인,임대인,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""2"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:29.526084,2026-06-18 10:47:29.526084
289,집주인,토지등소유자,BROADER,apartment_sale,80,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""3"", ""relation_code"": ""140303"", ""relation_name"": ""상위어""}",2026-06-18 10:47:29.526084,2026-06-18 10:47:29.526084
291,소유자,건물소유자,NARROWER,apartment_sale,70,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""2"", ""relation_code"": ""140304"", ""relation_name"": ""하위어""}",2026-06-18 10:47:29.539681,2026-06-18 10:47:29.539681
299,소유자,부동산소유자,NARROWER,apartment_sale,70,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""10"", ""relation_code"": ""140304"", ""relation_name"": ""하위어""}",2026-06-18 10:47:29.539681,2026-06-18 10:47:29.539681
303,소유자,소유권자,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""14"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:29.539681,2026-06-18 10:47:29.539681
323,매수자,구입자,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""1"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:29.619313,2026-06-18 10:47:29.619313
326,매수자,매수인,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""5"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:29.619313,2026-06-18 10:47:29.619313
329,매수자,매입자,SYNONYM,apartment_sale,100,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""8"", ""relation_code"": ""140301"", ""relation_name"": ""동의어""}",2026-06-18 10:47:29.619313,2026-06-18 10:47:29.619313
331,매도자,매도인,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""1"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:29.645184,2026-06-18 10:47:29.645184
333,세입자,부동산임차인,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""2"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:29.657881,2026-06-18 10:47:29.657881
335,세입자,임차인,SYNONYM,apartment_sale,100,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""4"", ""relation_code"": ""140301"", ""relation_name"": ""동의어""}",2026-06-18 10:47:29.657881,2026-06-18 10:47:29.657881
336,세입자,임차자,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""5"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:29.657881,2026-06-18 10:47:29.657881
353,임차인,임차권자,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""17"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:29.691124,2026-06-18 10:47:29.691124
362,임차인,점유자,BROADER,apartment_sale,80,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""26"", ""relation_code"": ""140303"", ""relation_name"": ""상위어""}",2026-06-18 10:47:29.691124,2026-06-18 10:47:29.691124
364,임차인,주택임차인,NARROWER,apartment_sale,70,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""28"", ""relation_code"": ""140304"", ""relation_name"": ""하위어""}",2026-06-18 10:47:29.691124,2026-06-18 10:47:29.691124
369,임대인,임대사업자,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""7"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:29.804369,2026-06-18 10:47:29.804369
370,임대인,임대의뢰인,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""8"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:29.804369,2026-06-18 10:47:29.804369
373,임대인,임대차계약당사자,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""11"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:29.804369,2026-06-18 10:47:29.804369
376,중개사,개업공인중개사,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""1"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:29.852334,2026-06-18 10:47:29.852334
377,중개사,중개사무소,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""2"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:29.852334,2026-06-18 10:47:29.852334
410,담보,담보주택,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""22"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:29.904226,2026-06-18 10:47:29.904226
426,담보,양도담보,NARROWER,apartment_sale,70,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""39"", ""relation_code"": ""140304"", ""relation_name"": ""하위어""}",2026-06-18 10:47:29.904226,2026-06-18 10:47:29.904226
427,담보,양도담보권,NARROWER,apartment_sale,70,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""40"", ""relation_code"": ""140304"", ""relation_name"": ""하위어""}",2026-06-18 10:47:29.904226,2026-06-18 10:47:29.904226
442,근저당,근저당권,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""1"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.016809,2026-06-18 10:47:30.016809
443,근저당,저당권,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""2"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.016809,2026-06-18 10:47:30.016809
444,저당,공동저당,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""1"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.026346,2026-06-18 10:47:30.026346
447,저당,저당권,NARROWER,apartment_sale,70,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""4"", ""relation_code"": ""140304"", ""relation_name"": ""하위어""}",2026-06-18 10:47:30.026346,2026-06-18 10:47:30.026346
448,저당,저당채권,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""5"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.026346,2026-06-18 10:47:30.026346
451,압류,경매절차,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""3"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.037555,2026-06-18 10:47:30.037555
464,압류,압류등기,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""16"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.037555,2026-06-18 10:47:30.037555
469,압류,압류부동산,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""21"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.037555,2026-06-18 10:47:30.037555
503,가처분,가처분등기,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""1"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.095163,2026-06-18 10:47:30.095163
521,전세권,전세권설정,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""7"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.109252,2026-06-18 10:47:30.109252
523,전세권,전세권설정등기,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""9"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.109252,2026-06-18 10:47:30.109252
528,전세권,전세권자,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""14"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.109252,2026-06-18 10:47:30.109252
531,등기부,갑구,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""1"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.126672,2026-06-18 10:47:30.126672
543,등기부,을구,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""13"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.126672,2026-06-18 10:47:30.126672
548,등기부,표제부,NARROWER,apartment_sale,70,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""18"", ""relation_code"": ""140304"", ""relation_name"": ""하위어""}",2026-06-18 10:47:30.126672,2026-06-18 10:47:30.126672
555,권리관계,등기상,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""5"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.148269,2026-06-18 10:47:30.148269
615,세금,재산세,NARROWER,apartment_sale,70,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""58"", ""relation_code"": ""140304"", ""relation_name"": ""하위어""}",2026-06-18 10:47:30.158583,2026-06-18 10:47:30.158583
625,세금,증여세,NARROWER,apartment_sale,70,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""68"", ""relation_code"": ""140304"", ""relation_name"": ""하위어""}",2026-06-18 10:47:30.158583,2026-06-18 10:47:30.158583
629,세금,취득세,NARROWER,apartment_sale,70,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""72"", ""relation_code"": ""140304"", ""relation_name"": ""하위어""}",2026-06-18 10:47:30.158583,2026-06-18 10:47:30.158583
636,취득세,취득세액,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""5"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.223423,2026-06-18 10:47:30.223423
637,취득세,취득세율,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""6"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.223423,2026-06-18 10:47:30.223423
638,취득세,취득재산,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""7"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.223423,2026-06-18 10:47:30.223423
639,양도세,다주택자,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""1"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.233562,2026-06-18 10:47:30.233562
640,양도세,양도소득세,SYNONYM,apartment_sale,100,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""2"", ""relation_code"": ""140301"", ""relation_name"": ""동의어""}",2026-06-18 10:47:30.233562,2026-06-18 10:47:30.233562
641,양도세,증여세,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""3"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.233562,2026-06-18 10:47:30.233562
644,양도소득세,양도소득과세표준,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""3"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.240925,2026-06-18 10:47:30.240925
649,양도소득세,양도소득세액,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""8"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.240925,2026-06-18 10:47:30.240925
650,양도소득세,장기보유특별공제,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""9"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.240925,2026-06-18 10:47:30.240925
652,인지세,국세,BROADER,apartment_sale,80,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""1"", ""relation_code"": ""140303"", ""relation_name"": ""상위어""}",2026-06-18 10:47:30.253822,2026-06-18 10:47:30.253822
653,인지세,소비제세,BROADER,apartment_sale,80,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""2"", ""relation_code"": ""140303"", ""relation_name"": ""상위어""}",2026-06-18 10:47:30.253822,2026-06-18 10:47:30.253822
655,인지세,인지세법,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""4"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.253822,2026-06-18 10:47:30.253822
660,재산세,재산세액,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""5"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.261436,2026-06-18 10:47:30.261436
661,재산세,종합부동산세,NARROWER,apartment_sale,70,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""6"", ""relation_code"": ""140304"", ""relation_name"": ""하위어""}",2026-06-18 10:47:30.261436,2026-06-18 10:47:30.261436
662,재산세,주택분재산세,NARROWER,apartment_sale,70,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""7"", ""relation_code"": ""140304"", ""relation_name"": ""하위어""}",2026-06-18 10:47:30.261436,2026-06-18 10:47:30.261436
668,종부세,종합부동산세,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""3"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.275127,2026-06-18 10:47:30.275127
669,종부세,종합부동산세액,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""4"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.275127,2026-06-18 10:47:30.275127
670,종부세,중과세,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""5"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.275127,2026-06-18 10:47:30.275127
675,종합부동산세,종합부동산세등,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""5"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.283177,2026-06-18 10:47:30.283177
676,종합부동산세,종합부동산세액,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""6"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.283177,2026-06-18 10:47:30.283177
678,종합부동산세,주택분재산세,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""8"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.283177,2026-06-18 10:47:30.283177
682,증여세,상속세및증여세법,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""4"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.294275,2026-06-18 10:47:30.294275
684,증여세,증여세과세가액,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""6"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.294275,2026-06-18 10:47:30.294275
685,증여세,증여세액,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""7"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.294275,2026-06-18 10:47:30.294275
786,신고,전입신고,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""102"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.310517,2026-06-18 10:47:30.310517
806,신고,취득신고,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""122"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.310517,2026-06-18 10:47:30.310517
831,자금조달,자금조달입주계획서,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""13"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.440194,2026-06-18 10:47:30.440194
832,자금조달,자금조달토지이용계획서,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""14"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.440194,2026-06-18 10:47:30.440194
838,자금조달계획서,사업자금조달계획서,NARROWER,apartment_sale,70,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""1"", ""relation_code"": ""140304"", ""relation_name"": ""하위어""}",2026-06-18 10:47:30.466208,2026-06-18 10:47:30.466208
839,토지거래허가,토지거래허가구역,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""1"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.475249,2026-06-18 10:47:30.475249
840,토지거래허가,토지거래허가제도,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""2"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.475249,2026-06-18 10:47:30.475249
841,토지거래허가,토지이용규제,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""3"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.475249,2026-06-18 10:47:30.475249
850,공동주택,아파트,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""10"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.482708,2026-06-18 10:47:30.482708
851,공동주택,연립주택,NARROWER,apartment_sale,70,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""11"", ""relation_code"": ""140304"", ""relation_name"": ""하위어""}",2026-06-18 10:47:30.482708,2026-06-18 10:47:30.482708
