category,name,subtype,latitude,longitude
hospital,연세대학교의과대학 강남세브란스병원,종합병원,37.49254975,127.04363747
hospital,차의과학대학교 강남차병원,종합병원,37.50690543,127.03159417
hospital,윤호병원,병원,37.52885833,127.03149444
hospital,서울치과병원,치과병원,37.52575878,127.02978790
hospital,(의)가산의료재단 광동병원,병원,37.51426019,127.05924129
hospital,삼성서울병원,종합병원,37.48866229,127.08309237
hospital,호산여성병원,병원,37.52854957,127.03046997
hospital,자생한방병원,한방병원,37.51005130,127.01942605
hospital,수치과병원,치과병원,37.52560929,127.03640071
hospital,건강한세상앞선치과병원,치과병원,37.51252114,127.05592928
hospital,연치과병원,치과병원,37.49422722,127.05889497
hospital,제일정형외과병원,병원,37.52279782,127.05328633
hospital,나누리병원,병원,37.52029279,127.03112313
hospital,강남베드로병원,종합병원,37.48561091,127.03669259
hospital,우리들병원,병원,37.51905202,127.04678802
hospital,김정수여러분병원,병원,37.50720165,127.02969573
hospital,누네안과병원,병원,37.50452021,127.04739516
hospital,석플란트치과병원,치과병원,37.52093814,127.03032303
hospital,강남유나이티드병원,병원,37.48496508,127.03219866
hospital,미병원,병원,37.52348180,127.02832014
hospital,수플란트치과병원,치과병원,37.52560929,127.03640071
hospital,에스플란트치과병원,치과병원,37.52287799,127.03761163
hospital,메드렉스병원,병원,37.51493568,127.02697557
hospital,비에비스나무병원,병원,37.50973493,127.02931513
hospital,재단법인위담 서울위담한방병원,한방병원,37.50136894,127.05122637
hospital,아이디병원,병원,37.51768518,127.02131509
hospital,강남을지대학교병원,병원,37.51941067,127.02569460
hospital,선한목자병원,병원,37.50152907,127.03316471
hospital,하나이비인후과병원,병원,37.49793179,127.04010550
hospital,아림치과병원,치과병원,37.50863822,127.05572459
hospital,광혜병원,병원,37.50830575,127.06179673
hospital,튼튼병원,병원,37.52141329,127.05282512
hospital,강남제이에스병원,병원,37.48993092,127.03084726
hospital,이솝한방병원,한방병원,37.50500262,127.06048319
hospital,강남구립행복요양병원,요양병원(일반요양병원),37.46114368,127.10047018
hospital,청담병원,병원,37.52067109,127.04274914
hospital,담소유병원,병원,37.51483580,127.03171558
hospital,강남초이스병원,병원,37.50478875,127.04557024
hospital,지앤지병원,병원,37.51625800,127.05680097
hospital,트리니티병원,병원,37.51426167,127.05576778
hospital,메디움강남요양병원,요양병원(일반요양병원),37.48803352,127.02994919
hospital,소우주한방병원,한방병원,37.47664822,127.04461449
hospital,포레스트요양병원,요양병원(일반요양병원),37.52053469,127.02648821
hospital,리봄한방병원,한방병원,37.51625787,127.03717134
hospital,위담한방병원,한방병원,37.50338472,127.05599403
hospital,청담힐요양병원,요양병원(일반요양병원),37.52141329,127.05282512
hospital,노블케어요양병원,요양병원(일반요양병원),37.52694019,127.03109248
hospital,강남지인병원,병원,37.51284410,127.03217423
hospital,미니쉬치과병원,치과병원,37.51985631,127.03199576
hospital,서울본브릿지병원,병원,37.49246818,127.03953918
hospital,라이브치과병원,치과병원,37.50559579,127.02737496
hospital,치휴한방병원,한방병원,37.49258634,127.03986194
hospital,서울페이스21치과병원,치과병원,37.49784646,127.02574702
hospital,새로운병원,병원,37.51228089,127.02143275
hospital,두발로병원,병원,37.52434258,127.02652111
hospital,네이처요양병원,요양병원(일반요양병원),37.46640938,127.09684966
hospital,더드림병원,병원,37.50098211,127.04802812
hospital,무이재한방병원,한방병원,37.51210105,127.02074159
hospital,청담해리슨병원,병원,37.51770432,127.04832256
hospital,모두가행복한연세병원,병원,37.52180471,127.03622449
hospital,우모한방병원,한방병원,37.49706777,127.04203088
hospital,리페이스치과병원,치과병원,37.51746654,127.02086513
hospital,하병원,병원,37.51226850,127.01865804
hospital,서울특별시어린이병원,병원,37.45541064,127.06638838
hospital,학교법인가톨릭학원가톨릭대학교서울성모병원,종합병원,37.50007956,127.00235677
hospital,재단법인 동국한방병원,한방병원,37.49027799,126.98949735
hospital,의료법인 청해의료재단 제일병원,병원,37.48782981,126.99218680
hospital,대항병원,병원,37.47560240,126.98507426
hospital,필치과병원,치과병원,37.49478790,126.98598353
hospital,길인의료재단 기린한방병원,한방병원,37.51108726,127.01718882
hospital,서울21세기병원,병원,37.48529288,127.01284951
hospital,가야치과병원,치과병원,37.48928174,126.98936662
hospital,의료법인 부원의료재단 서초요양병원,요양병원(일반요양병원),37.48312671,127.00646237
hospital,연세사랑병원,병원,37.47411700,126.99062149
hospital,서울탑치과병원,치과병원,37.48460916,127.00993296
hospital,서울귀한이치과병원,치과병원,37.50712675,127.00695112
hospital,고도일병원,병원,37.50702526,127.01987958
hospital,강남요양병원,요양병원(일반요양병원),37.49938836,127.00918999
hospital,참포도나무병원,병원,37.47992963,127.03577948
hospital,365엠씨(mc)병원,병원,37.49299243,127.01122658
hospital,장덕한방병원,한방병원,37.48575961,127.01320503
hospital,이건목원리한방병원,한방병원,37.49410250,126.98030095
hospital,세바른병원,병원,37.48595499,127.01245711
hospital,의료법인 참예원의료재단 서초참요양병원,요양병원(일반요양병원),37.45976636,127.02246074
hospital,서초프라임요양병원,요양병원(일반요양병원),37.47672814,126.98101584
hospital,올바로병원,병원,37.48622180,127.00156914
hospital,뉴민병원,병원,37.49302755,126.98704732
hospital,모커리한방병원,한방병원,37.49481569,127.01573881
hospital,기쁨병원,종합병원,37.48278820,127.01512739
hospital,광덕안정한방병원,한방병원,37.49059098,127.02756142
hospital,유디치과병원,치과병원,37.49059098,127.02756142
hospital,자이비뇨의학과병원,병원,37.50273531,127.01889559
hospital,척바른병원,병원,37.48719606,126.99066879
hospital,서울안강병원,병원,37.48644604,127.01744366
hospital,경찰병원,종합병원,37.49624727,127.12059248
hospital,재단법인아산사회복지재단 서울아산병원,종합병원,37.52627526,127.10658734
hospital,의료법인일맥의료재단 송파인애가한방병원,한방병원,37.48728833,127.12659467
hospital,서울병원,병원,37.50391781,127.12182111
hospital,한솔병원,병원,37.50608298,127.10302709
hospital,의료법인정애의료재단서울초이스병원,병원,37.53382719,127.11829708
hospital,수치과병원,치과병원,37.49155015,127.11353795
hospital,강남수병원,병원,37.50133436,127.08326210
hospital,의료법인마리아의료재단마리아병원,병원,37.49326727,127.12153491
hospital,뉴스타트병원,병원,37.49907980,127.11656968
hospital,서울본원병원,병원,37.50763388,127.10693951
hospital,송파온요양병원,요양병원(일반요양병원),37.49346740,127.14002501
hospital,송파드림재활병원,병원,37.49671711,127.11931548
hospital,선수촌병원,병원,37.51156670,127.07613119
hospital,송파미소병원,정신병원,37.49322861,127.14298994
hospital,미래본병원,병원,37.51533186,127.09665216
hospital,더사랑요양병원,요양병원(일반요양병원),37.50063243,127.14024990
hospital,빠른병원,병원,37.50747053,127.10679026
hospital,케이치과병원,치과병원,37.51559781,127.10244991
hospital,서울석병원,병원,37.49379742,127.12108321
hospital,잠실자생한방병원,한방병원,37.47764866,127.12210616
hospital,강남센트럴요양병원,요양병원(일반요양병원),37.49300657,127.12166103
hospital,혜민안과병원,병원,37.49381988,127.11905242
hospital,서재곤링커병원,병원,37.50943057,127.10909143
hospital,서울힐링요양병원,요양병원(일반요양병원),37.49908184,127.12279442
hospital,더바름치과병원,치과병원,37.51064177,127.08333682
hospital,포레메디한방병원,한방병원,37.51172117,127.10674392
hospital,송파그랜드요양병원,요양병원(일반요양병원),37.49965723,127.14088561
hospital,서울세계로병원,병원,37.48661304,127.13936606
hospital,다나움요양병원,요양병원(일반요양병원),37.51245045,127.11697792
hospital,염창환병원,병원,37.50356561,127.12236192
hospital,365다시재한방병원,한방병원,37.48661304,127.13936606
hospital,오쿨리한방병원,한방병원,37.50778169,127.12748684
hospital,강남푸른숲한방병원,한방병원,37.50261565,127.08413671
hospital,연세우리병원,병원,37.50479824,127.08441189
hospital,서울아로한방병원,한방병원,37.53054096,127.10982950
hospital,엠에스병원,병원,37.50208503,127.09377522
hospital,더힐병원,병원,37.49877187,127.11747698
hospital,서울오브치과병원,치과병원,37.50395264,127.08541167
hospital,강철병원,병원,37.50230637,127.09139350
hospital,시그니처요양병원,요양병원(일반요양병원),37.50352023,127.13453330
