category,name,subtype,latitude,longitude
large_mart,한보종합상가,상가,37.49339314,127.06445997
large_mart,한솔필리아,상업시설,37.49921736,127.04554957
large_mart,강남시장,복합쇼핑몰,37.51877160,127.01777859
large_mart,논현종합시장,시장,37.51001849,127.03188711
large_mart,두산아케이드,쇼핑센터,37.51907520,127.03240803
large_mart,신사상가,상가,37.53228555,127.02550757
large_mart,갤러리아백화점(동관),백화점,37.52808056,127.03867930
large_mart,청담삼익시장,시장,37.52230499,127.05484589
large_mart,그랑프리,쇼핑센터,37.49083918,127.05435070
large_mart,청실종합상가,상가,37.49314851,127.05618639
large_mart,대치종합상가,상가,37.50100379,127.06075586
large_mart,대치1단지상가,상가,37.49418479,127.07232538
large_mart,대치2단지상가,상가,37.49418479,127.07232538
large_mart,수서1-2단지상가,상가,37.49133726,127.08551511
large_mart,진솔물산,상업시설,37.49503903,127.02681353
large_mart,(주)현대백화점 본점,백화점,37.52733427,127.02458002
large_mart,현대백화점 무역센터점,백화점,37.50859528,127.05682846
large_mart,갤러리아백화점(서관),백화점,37.52856181,127.03716458
large_mart,롯데백화점(강남점),백화점,37.49705815,127.05070374
large_mart,파르나스몰(PARNAS MALL),쇼핑센터,37.50904778,127.05800283
large_mart,웨스틴 서울 파르나스 아케이드,쇼핑센터,37.51252114,127.05592928
large_mart,코엑스 몰,복합쇼핑몰,37.51039788,127.05830330
large_mart,금강상가,상가,37.52993390,127.02601456
large_mart,남서울종합시장,시장,37.49360624,127.05680991
large_mart,(주)이마트 역삼점,대형마트,37.49921736,127.04554957
large_mart,논현웰스톤상가,상가,37.51845267,127.03513978
large_mart,아카데미프라자,쇼핑센터,37.48867258,127.04921217
large_mart,삼성동 신도브래뉴 주상복합 상가,상가,37.51038897,127.05051583
large_mart,하우스오브신세계 청담,백화점,37.52339381,127.04076763
large_mart,영동전통시장,시장,37.50994547,127.02078377
large_mart,홈플러스 익스프레스 압구정점,슈퍼마켓,37.52805215,127.03400127
large_mart,GS THE FRESH 신사점,슈퍼마켓,37.52350658,127.02241245
large_mart,동화상가(주),상가,37.51053309,127.02063256
large_mart,홈플러스익스프레스 학동역점,슈퍼마켓,37.51352425,127.02730124
large_mart,신원아침도시마인상가,상가,37.52643265,127.04677698
large_mart,롯데슈퍼 논현점,슈퍼마켓,37.51253498,127.03547937
large_mart,롯데쇼핑(주) 롯데슈퍼 삼성점,슈퍼마켓,37.51555553,127.03947733
large_mart,롯데쇼핑(주) 롯데슈퍼 코엑스점,슈퍼마켓,37.51499497,127.05852490
large_mart,GS THE FRESH 강남영동점,슈퍼마켓,37.50994547,127.02078377
large_mart,도심공항몰(CALT MALL),쇼핑센터,37.50959123,127.05638362
large_mart,점프밀라노,쇼핑센터,37.50126798,127.02358925
large_mart,노브랜드 삼성점,슈퍼마켓,37.51645306,127.04829784
large_mart,삐에로쇼핑 강남논현점,생활잡화점,37.50804407,127.02045405
large_mart,더 샵스 앳 센터필드 (THE SHOPS AT CENTERFIELD),쇼핑센터,37.50321165,127.03860157
large_mart,이마트에브리데이 강남시장점,슈퍼마켓,37.51877160,127.01777859
large_mart,GS THE FRESH 압구정점,슈퍼마켓,37.52875738,127.03262347
large_mart,무지개종합상가,상가,37.48908749,127.02328762
large_mart,터미널상가,상가,37.50551855,127.00417246
large_mart,(주)이랜드리테일 강남점,대형마트,37.50939764,127.00442004
large_mart,(주)이마트 양재점,대형마트,37.46339530,127.03412337
large_mart,신세계백화점 강남점,백화점,37.50436408,127.00073092
large_mart,엘루체,쇼핑센터,37.50174539,126.98423467
large_mart,무지개쇼핑,쇼핑센터,37.49236754,127.02295707
large_mart,롯데슈퍼 방배2점,슈퍼마켓,37.49126849,126.98641426
large_mart,뉴코아백화점,백화점,37.50908927,127.00206043
large_mart,뉴코아아울렛,전문점,37.50939764,127.00442004
large_mart,롯데쇼핑(주)롯데슈퍼 방배점,슈퍼마켓,37.49690595,126.98275226
large_mart,국제전자도매센타,전문점,37.48474239,127.01487744
large_mart,반포프라자,쇼핑센터,37.50210264,126.98405734
large_mart,신동아종합상가,상가,37.49044479,127.02164100
large_mart,서초쇼핑,쇼핑센터,37.49994856,127.01455273
large_mart,한양스토아,슈퍼마켓,37.50160027,127.01034532
large_mart,방배종합시장,시장,37.48198236,126.98085803
large_mart,이수시장,시장,37.49126849,126.98641426
large_mart,신반포종합시장,시장,37.50542104,126.99166132
large_mart,신사쇼핑,쇼핑센터,37.51615957,127.01181912
large_mart,대림서초리시온,쇼핑센터,37.49347295,127.01255021
large_mart,아크로비스타 아케이드,쇼핑센터,37.49819930,127.01042433
large_mart,하이브랜드,쇼핑센터,37.46339530,127.03412337
large_mart,교보타워 지하아케이드,전문점,37.50377582,127.02118094
large_mart,코스트코코리아,대형마트,37.46202664,127.03320846
large_mart,롯데쇼핑(주) 롯데마트 서초점,대형마트,37.49032151,127.00287400
large_mart,GS THE FRESH 방배중앙점,슈퍼마켓,37.49151576,126.98374457
large_mart,이마트에브리데이 양재역점,슈퍼마켓,37.48285918,127.03569216
large_mart,송파쇼핑센타,쇼핑센터,37.49518268,127.14806820
large_mart,잠실중앙상가,상가,37.51249590,127.09050660
large_mart,올림픽프라자상가,상가,37.51582604,127.12932801
large_mart,롯데쇼핑(주)롯데마트 제타플렉스 잠실점,대형마트,37.51128661,127.09504902
large_mart,롯데백화점 잠실점,백화점,37.51128661,127.09504902
large_mart,롯데쇼핑(주)롯데마트 송파점,대형마트,37.49173857,127.11486125
large_mart,갤러리아팰리스 아케이드,쇼핑센터,37.51110380,127.09102861
large_mart,롯데캐슬플라자,쇼핑센터,37.51445421,127.09784499
large_mart,홈플러스(주)잠실점,대형마트,37.51625641,127.10014307
large_mart,마천시장,시장,37.49829956,127.14770592
large_mart,프리마 쇼핑센타,쇼핑센터,37.50686530,127.07025185
large_mart,엄마손상가,상가,37.50148986,127.10466456
large_mart,가든파이브 툴,쇼핑센터,37.47862641,127.11638510
large_mart,가든파이브 라이프,쇼핑센터,37.47764866,127.12210616
large_mart,올림픽파크동부센트레빌 상가,상가,37.51016163,127.12476721
large_mart,한화 송파지점,상업시설,37.50506820,127.11164977
large_mart,쌍용프라자 상가,상가,37.49554291,127.12522783
large_mart,롯데쇼핑(주)롯데슈퍼신천점,슈퍼마켓,37.51214815,127.08012968
large_mart,롯데쇼핑(주)롯데슈퍼잠실3동점,슈퍼마켓,37.51064177,127.08333682
large_mart,(주)이마트에브리데이 가락동점,슈퍼마켓,37.49631278,127.11540846
large_mart,롯데쇼핑(주)롯데슈퍼송파점,슈퍼마켓,37.50506820,127.11164977
large_mart,롯데쇼핑(주)롯데슈퍼풍납점,슈퍼마켓,37.52795364,127.11413100
large_mart,롯데쇼핑(주)롯데슈퍼석촌점,슈퍼마켓,37.50218709,127.09601499
large_mart,농협하나로마트방이역점,슈퍼마켓,37.51016163,127.12476721
large_mart,홈플러스(주)익스프레스 거여점,슈퍼마켓,37.49268985,127.14264590
large_mart,홈플러스(주)익스프레스 잠실점,슈퍼마켓,37.50767403,127.08889025
large_mart,홈플러스(주) 익스프레스 송파점,슈퍼마켓,37.50638999,127.11385711
large_mart,홈플러스(주)익스프레스 풍납점,슈퍼마켓,37.53343406,127.11532334
large_mart,롯데하이마트잠실점,전문점,37.51128661,127.09504902
large_mart,(주)지에스리테일 송파점,슈퍼마켓,37.49554291,127.12522783
large_mart,(주)지에스리테일 방이점,슈퍼마켓,37.50754132,127.12127913
large_mart,(주)지에스리테일 잠실파크리오점,슈퍼마켓,37.52053656,127.10326093
large_mart,(주)지에스리테일 송파가락점,슈퍼마켓,37.49366100,127.13013255
