category,name,subtype,latitude,longitude
station,수서역,수도권 광역급행철도,37.48637,127.10161
station,삼성역,수도권 광역급행철도,37.50887,127.06324
station,청계산입구역,신분당선,37.447211,127.055664
station,양재시민의숲(매헌)역,신분당선,37.470023,127.03842
station,양재(서초구청)역,신분당선,37.483809,127.034653
station,강남역,신분당선,37.496837,127.028104
station,신논현역,신분당선(연장2),37.504598,127.02506
station,논현역,신분당선(연장2),37.511093,127.021415
station,신사역,신분당선(연장2),37.516334,127.020114
station,올림픽공원(한국체대)역,9호선(연장),37.516269,127.130288
station,한성백제역,9호선(연장),37.516404,127.116503
station,송파나루역,9호선(연장),37.510372,127.112216
station,석촌역,9호선(연장),37.505208,127.10704
station,석촌고분역,9호선(연장),37.502558,127.097033
station,삼전역,9호선(연장),37.504738,127.088025
station,종합운동장역,9호선(연장),37.511426,127.076275
station,봉은사역,9호선(연장),37.514219,127.060245
station,삼성중앙역,9호선(연장),37.513011,127.053282
station,선정릉역,9호선(연장),37.510297,127.043999
station,언주역,9호선(연장),37.507287,127.033868
station,신논현역,9호선,37.504598,127.02506
station,사평역,9호선,37.504206,127.015259
station,고속터미널역,9호선,37.50598,127.004403
station,신반포역,9호선,37.503415,126.995925
station,구반포역,9호선,37.501364,126.987332
station,복정역,8호선,37.471052,127.126732
station,장지역,8호선,37.478703,127.126191
station,문정역,8호선,37.485855,127.1225
station,가락시장역,8호선,37.492888,127.118398
station,송파역,8호선,37.499703,127.112183
station,석촌역,8호선,37.505557,127.106832
station,잠실(송파구청)역,8호선,37.514692,127.104338
station,몽촌토성(평화의문)역,8호선,37.517409,127.112359
station,내방역,7호선,37.487618,126.993513
station,고속터미널역,7호선,37.503367,127.005068
station,반포역,7호선,37.508178,127.011727
station,논현역,7호선,37.511093,127.021415
station,학동역,7호선,37.514229,127.031656
station,강남구청역,7호선,37.517179,127.041255
station,청담역,7호선,37.519365,127.05335
station,마천역,5호선,37.49499,127.152781
station,거여역,5호선,37.493105,127.14415
station,개롱역,5호선,37.498079,127.13482
station,오금역,5호선,37.502057,127.127938
station,방이역,5호선,37.508857,127.126133
station,올림픽공원(한국체대)역,5호선,37.516201,127.130923
station,선정릉역,분당선,37.510735,127.043677
station,강남구청역,분당선,37.517469,127.041151
station,압구정로데오역,분당선,37.527381,127.040534
station,복정역,분당선,37.470047,127.12666
station,수서역,분당선,37.487472,127.101422
station,대모산입구역,분당선,37.491373,127.07272
station,개포동역,분당선,37.489116,127.06614
station,구룡역,분당선,37.486839,127.058856
station,도곡역,분당선,37.491224,127.055186
station,한티역,분당선,37.496237,127.052873
station,선릉역,분당선,37.504856,127.048807
station,남태령역,4호선,37.463873,126.989134
station,오금역,3호선,37.502129,127.128319
station,경찰병원역,3호선,37.495918,127.12454
station,가락시장역,3호선,37.492245,127.117757
station,수서역,3호선,37.487378,127.101907
station,일원역,3호선,37.483681,127.08439
station,대청역,3호선,37.493514,127.079532
station,학여울역,3호선,37.496663,127.070594
station,대치역,3호선,37.494612,127.063642
station,도곡역,3호선,37.490922,127.055452
station,매봉역,3호선,37.486947,127.046769
station,양재(서초구청)역,3호선,37.484477,127.033902
station,남부터미널(예술의전당)역,3호선,37.485013,127.016189
station,교대(법원.검찰청)역,3호선,37.493025,127.013786
station,고속터미널역,3호선,37.504891,127.004916
station,잠원역,3호선,37.512759,127.01122
station,신사역,3호선,37.516334,127.020114
station,압구정역,3호선,37.527072,127.028461
station,방배역,2호선,37.481426,126.997596
station,서초역,2호선,37.491897,127.007917
station,교대(법원.검찰청)역,2호선,37.493961,127.014667
station,강남역,2호선,37.49799,127.027912
station,역삼역,2호선,37.500622,127.036456
station,선릉역,2호선,37.504286,127.048203
station,삼성(무역센터)역,2호선,37.508844,127.06316
station,종합운동장역,2호선,37.511022,127.073704
station,잠실새내역,2호선,37.511687,127.086162
station,잠실(송파구청)역,2호선,37.513262,127.100159
station,잠실나루역,2호선,37.520733,127.10379
education,개현초등학교병설유치원,유치원,37.48102621,127.0620426
education,서울개원초등학교병설유치원,유치원,37.48098569,127.0586014
education,서울개포유치원,유치원,37.48631021,127.0692801
education,서울논현초등학교병설유치원,유치원,37.50794539,127.0258086
education,서울대왕초등학교병설유치원,유치원,37.46462086,127.1055908
education,서울대현초등학교병설유치원,유치원,37.50372114,127.063566
education,서울도곡초등학교병설유치원,유치원,37.49916333,127.0552051
education,서울세명유치원,유치원,37.46885737,127.0910762
education,서울수서초등학교병설유치원,유치원,37.49115259,127.1015826
education,서울신구유치원,유치원,37.5233613,127.0239915
education,서울언주초등학교병설유치원,유치원,37.4863221,127.0367935
education,서울역삼초등학교병설유치원,유치원,37.4925586,127.033355
education,서울영희초등학교병설유치원,유치원,37.4923004,127.0811328
education,서울율현초등학교병설유치원,유치원,37.47462251,127.1077867
education,서울은곡유치원,유치원,37.46681621,127.0969312
education,서울일원초등학교병설유치원,유치원,37.48981271,127.0761419
education,서울자곡초등학교병설유치원,유치원,37.47219112,127.0996016
education,서울청담초등학교병설유치원,유치원,37.52828187,127.045153
education,서울포이초등학교병설유치원,유치원,37.47529287,127.0514162
education,서울학동초등학교병설유치원,유치원,37.51226106,127.0395978
education,강남유정유치원,유치원,37.48300739,127.0949421
education,남부유치원,유치원,37.48752122,127.0487523
education,도곡렉슬유치원,유치원,37.49420684,127.0497348
education,돌샘유치원,유치원,37.48914068,127.0708715
education,리라유치원,유치원,37.48553054,127.0847979
education,묘동유치원,유치원,37.49740731,127.0587664
education,반디유치원,유치원,37.48669571,127.0976974
education,성결유치원,유치원,37.51146617,127.0353539
education,성요셉유치원,유치원,37.52680404,127.0482335
education,신아유치원,유치원,37.49192102,127.0788487
education,영동제일유치원,유치원,37.51754522,127.0534247
education,오즈의마법사유치원,유치원,37.46399193,127.1061991
education,이화유치원,유치원,37.49220794,127.0741525
education,청담몬테소리유치원,유치원,37.51934783,127.0465386
education,초원유치원,유치원,37.47598139,127.0485977
education,푸른유치원,유치원,37.48396351,127.0810518
education,서울개원초등학교,초등학교,37.48159653,127.0587379
education,서울개일초등학교,초등학교,37.486239,127.0577737
education,서울개포초등학교,초등학교,37.48645838,127.0702612
education,서울개현초등학교,초등학교,37.48098948,127.0618025
education,서울구룡초등학교,초등학교,37.48121059,127.0516781
education,서울논현초등학교,초등학교,37.50844741,127.0262171
education,서울대곡초등학교,초등학교,37.49467586,127.0650264
education,서울대도초등학교,초등학교,37.49292307,127.0530928
education,서울대모초등학교,초등학교,37.4814319,127.0862208
education,서울대왕초등학교,초등학교,37.46460871,127.10562
education,서울대진초등학교,초등학교,37.49717623,127.0782777
education,서울대청초등학교,초등학교,37.49315465,127.0878083
education,서울대치초등학교,초등학교,37.49129689,127.0620383
education,서울대현초등학교,초등학교,37.50393887,127.0638085
education,서울도곡초등학교,초등학교,37.49949978,127.0544862
education,서울도성초등학교,초등학교,37.50119245,127.0490545
